sample	locus	read_count	molecule_count
08R_S3_R1_001	ACADSB	14	13
08R_S3_R1_001	ANXA2	7418	6853
08R_S3_R1_001	ANXA4	1256	1229
08R_S3_R1_001	AOX1	2	2
08R_S3_R1_001	APOD	19	19
08R_S3_R1_001	AQP3	45	45
08R_S3_R1_001	ARG2	33	33
08R_S3_R1_001	ARID5B	24	24
08R_S3_R1_001	BCL6	22	22
08R_S3_R1_001	C10orf10	143	142
08R_S3_R1_001	C1R	260	256
08R_S3_R1_001	C4BPA	65	65
08R_S3_R1_001	CD55	321	317
08R_S3_R1_001	CEBPD	456	454
08R_S3_R1_001	CFD	136	135
08R_S3_R1_001	CLDN4	484	480
08R_S3_R1_001	COMP	2	2
08R_S3_R1_001	CP	409	404
08R_S3_R1_001	CRABP2	105	103
08R_S3_R1_001	CYC1	123	122
08R_S3_R1_001	DDX52	64	63
08R_S3_R1_001	DEFB1	1555	1514
08R_S3_R1_001	DKK1	11	11
08R_S3_R1_001	DPP4	10	10
08R_S3_R1_001	DYNLT3	641	633
08R_S3_R1_001	EDN3	18	18
08R_S3_R1_001	EDNRB	20	20
08R_S3_R1_001	EFNA1	178	177
08R_S3_R1_001	ENPEP	4	4
08R_S3_R1_001	ERCC_00004	2316	2243
08R_S3_R1_001	ERCC_00108	224	221
08R_S3_R1_001	ERCC_00116	57	57
08R_S3_R1_001	ERCC_00136	397	395
08R_S3_R1_001	G0S2	40	40
08R_S3_R1_001	GADD45A	61	60
08R_S3_R1_001	GBP2	384	376
08R_S3_R1_001	GNLY	1495	1470
08R_S3_R1_001	GPX3	169	168
08R_S3_R1_001	HABP2	11	11
08R_S3_R1_001	HMBS	33	32
08R_S3_R1_001	ID4	904	887
08R_S3_R1_001	IDO1	416	412
08R_S3_R1_001	IGFBP1	1	1
08R_S3_R1_001	IL15	75	75
08R_S3_R1_001	LAMB3	29	29
08R_S3_R1_001	MAOA	367	366
08R_S3_R1_001	MAP3K5	46	46
08R_S3_R1_001	MMP7	46	45
08R_S3_R1_001	MT1G	11726	10596
08R_S3_R1_001	MT1H	1051	1034
08R_S3_R1_001	NDRG1	72	72
08R_S3_R1_001	NNMT	65	64
08R_S3_R1_001	OLFM1	12	12
08R_S3_R1_001	PAEP	422	419
08R_S3_R1_001	PRUNE2	139	139
08R_S3_R1_001	S100P	300	300
08R_S3_R1_001	SDHA	222	220
08R_S3_R1_001	SERPING1	419	417
08R_S3_R1_001	SFRP4	67	67
08R_S3_R1_001	SLC1A1	5	5
08R_S3_R1_001	SPP1	900	886
08R_S3_R1_001	TBP	74	74
08R_S3_R1_001	TCN1	49	49
08R_S3_R1_001	TSPAN8	14	14
08R_S3_R1_001	unmatched	2178	1319
09R-replicate_S12_R1_001	ABCC3	4	4
09R-replicate_S12_R1_001	ACADSB	20	20
09R-replicate_S12_R1_001	ANXA2	4932	4695
09R-replicate_S12_R1_001	ANXA4	645	634
09R-replicate_S12_R1_001	AOX1	0	0
09R-replicate_S12_R1_001	APOD	12	12
09R-replicate_S12_R1_001	AQP3	86	84
09R-replicate_S12_R1_001	ARG2	19	19
09R-replicate_S12_R1_001	ARID5B	6	6
09R-replicate_S12_R1_001	BCL6	14	14
09R-replicate_S12_R1_001	C10orf10	103	102
09R-replicate_S12_R1_001	C1R	254	252
09R-replicate_S12_R1_001	C4BPA	46	46
09R-replicate_S12_R1_001	CD55	159	159
09R-replicate_S12_R1_001	CEBPD	301	299
09R-replicate_S12_R1_001	CFD	32	32
09R-replicate_S12_R1_001	CLDN4	361	359
09R-replicate_S12_R1_001	COMP	1	1
09R-replicate_S12_R1_001	CP	169	167
09R-replicate_S12_R1_001	CRABP2	48	48
09R-replicate_S12_R1_001	CYC1	122	122
09R-replicate_S12_R1_001	DDX52	25	25
09R-replicate_S12_R1_001	DEFB1	392	391
09R-replicate_S12_R1_001	DKK1	13	13
09R-replicate_S12_R1_001	DPP4	6	6
