sample	locus	read_count	molecule_count
14R_S9_R1_001	TCN1	5	5
14R_S9_R1_001	TSPAN8	3	3
14R_S9_R1_001	unmatched	1031	517
nv15-8_S10_R1_001	ABCC3	34	34
nv15-8_S10_R1_001	ACADSB	66	65
nv15-8_S10_R1_001	ANXA2	9679	8726
nv15-8_S10_R1_001	ANXA4	2537	2435
nv15-8_S10_R1_001	AOX1	309	306
nv15-8_S10_R1_001	APOD	52	52
nv15-8_S10_R1_001	AQP3	648	639
nv15-8_S10_R1_001	ARG2	62	62
nv15-8_S10_R1_001	ARID5B	58	58
nv15-8_S10_R1_001	BCL6	45	45
nv15-8_S10_R1_001	C10orf10	252	252
nv15-8_S10_R1_001	C1R	1526	1478
nv15-8_S10_R1_001	C4BPA	1210	1176
nv15-8_S10_R1_001	CD55	1489	1467
nv15-8_S10_R1_001	CEBPD	1217	1198
nv15-8_S10_R1_001	CFD	247	246
nv15-8_S10_R1_001	CLDN4	747	735
nv15-8_S10_R1_001	COMP	456	453
nv15-8_S10_R1_001	CP	2063	2006
nv15-8_S10_R1_001	CRABP2	50	50
nv15-8_S10_R1_001	CYC1	188	188
nv15-8_S10_R1_001	DDX52	288	285
nv15-8_S10_R1_001	DEFB1	1131	1113
nv15-8_S10_R1_001	DKK1	41	41
nv15-8_S10_R1_001	DPP4	764	744
nv15-8_S10_R1_001	DYNLT3	822	810
nv15-8_S10_R1_001	EDN3	4	4
nv15-8_S10_R1_001	EDNRB	177	173
nv15-8_S10_R1_001	EFNA1	353	346
nv15-8_S10_R1_001	ENPEP	1	1
nv15-8_S10_R1_001	ERCC_00004	2224	2154
nv15-8_S10_R1_001	ERCC_00108	216	213
nv15-8_S10_R1_001	ERCC_00116	48	48
nv15-8_S10_R1_001	ERCC_00136	389	385
nv15-8_S10_R1_001	G0S2	256	254
nv15-8_S10_R1_001	GADD45A	540	534
nv15-8_S10_R1_001	GBP2	604	592
nv15-8_S10_R1_001	GNLY	4462	4269
nv15-8_S10_R1_001	GPX3	6342	5873
nv15-8_S10_R1_001	HABP2	277	275
nv15-8_S10_R1_001	HMBS	73	73
nv15-8_S10_R1_001	ID4	1772	1729
nv15-8_S10_R1_001	IDO1	1418	1370
nv15-8_S10_R1_001	IGFBP1	83	82
nv15-8_S10_R1_001	IL15	289	288
nv15-8_S10_R1_001	LAMB3	425	421
nv15-8_S10_R1_001	MAOA	756	745
nv15-8_S10_R1_001	MAP3K5	226	225
nv15-8_S10_R1_001	MMP7	580	576
nv15-8_S10_R1_001	MT1G	6664	6287
nv15-8_S10_R1_001	MT1H	1050	1039
nv15-8_S10_R1_001	NDRG1	88	88
nv15-8_S10_R1_001	NNMT	953	935
nv15-8_S10_R1_001	OLFM1	16	16
nv15-8_S10_R1_001	PAEP	40499	28976
nv15-8_S10_R1_001	PRUNE2	254	254
nv15-8_S10_R1_001	S100P	318	313
nv15-8_S10_R1_001	SDHA	341	340
nv15-8_S10_R1_001	SERPING1	3369	3240
nv15-8_S10_R1_001	SFRP4	141	140
nv15-8_S10_R1_001	SLC1A1	117	116
nv15-8_S10_R1_001	SPP1	3884	3735
nv15-8_S10_R1_001	TBP	63	63
nv15-8_S10_R1_001	TCN1	282	280
nv15-8_S10_R1_001	TSPAN8	279	277
nv15-8_S10_R1_001	unmatched	6011	4145
nv9-8_S11_R1_001	ABCC3	34	34
nv9-8_S11_R1_001	ACADSB	52	52
nv9-8_S11_R1_001	ANXA2	9623	8729
nv9-8_S11_R1_001	ANXA4	2809	2671
nv9-8_S11_R1_001	AOX1	450	443
nv9-8_S11_R1_001	APOD	60	60
nv9-8_S11_R1_001	AQP3	526	511
nv9-8_S11_R1_001	ARG2	83	83
nv9-8_S11_R1_001	ARID5B	63	62
nv9-8_S11_R1_001	BCL6	60	60
nv9-8_S11_R1_001	C10orf10	312	309
nv9-8_S11_R1_001	C1R	1013	993
nv9-8_S11_R1_001	C4BPA	467	456
nv9-8_S11_R1_001	CD55	2095	2049
nv9-8_S11_R1_001	CEBPD	1096	1076
nv9-8_S11_R1_001	CFD	193	191
nv9-8_S11_R1_001	CLDN4	1062	1057
nv9-8_S11_R1_001	COMP	1190	1162
nv9-8_S11_R1_001	CP	1023	1009
nv9-8_S11_R1_001	CRABP2	67	66
nv9-8_S11_R1_001	CYC1	150	150
nv9-8_S11_R1_001	DDX52	482	474
nv9-8_S11_R1_001	DEFB1	1218	1196
nv9-8_S11_R1_001	DKK1	43	43
nv9-8_S11_R1_001	DPP4	1193	1159
nv9-8_S11_R1_001	DYNLT3	1001	980
nv9-8_S11_R1_001	EDN3	5	5
nv9-8_S11_R1_001	EDNRB	215	213
nv9-8_S11_R1_001	EFNA1	447	439
nv9-8_S11_R1_001	ENPEP	3	3
nv9-8_S11_R1_001	ERCC_00004	2279	2188
nv9-8_S11_R1_001	ERCC_00108	239	239
nv9-8_S11_R1_001	ERCC_00116	47	47
nv9-8_S11_R1_001	ERCC_00136	457	455
nv9-8_S11_R1_001	G0S2	187	186
nv9-8_S11_R1_001	GADD45A	737	720
nv9-8_S11_R1_001	GBP2	488	485
nv9-8_S11_R1_001	GNLY	4715	4498
nv9-8_S11_R1_001	GPX3	6109	5674
nv9-8_S11_R1_001	HABP2	127	127
nv9-8_S11_R1_001	HMBS	43	43
nv9-8_S11_R1_001	ID4	1180	1157
nv9-8_S11_R1_001	IDO1	1182	1153
nv9-8_S11_R1_001	IGFBP1	97	93
nv9-8_S11_R1_001	IL15	236	232
nv9-8_S11_R1_001	LAMB3	374	372
nv9-8_S11_R1_001	MAOA	914	897
nv9-8_S11_R1_001	MAP3K5	326	325
nv9-8_S11_R1_001	MMP7	139	138
nv9-8_S11_R1_001	MT1G	11270	10236
nv9-8_S11_R1_001	MT1H	2198	2153
nv9-8_S11_R1_001	NDRG1	119	119
nv9-8_S11_R1_001	NNMT	558	557
nv9-8_S11_R1_001	OLFM1	11	11
nv9-8_S11_R1_001	PAEP	36078	26610
nv9-8_S11_R1_001	PRUNE2	134	133
nv9-8_S11_R1_001	S100P	316	311
nv9-8_S11_R1_001	SDHA	317	312
nv9-8_S11_R1_001	SERPING1	2134	2077
nv9-8_S11_R1_001	SFRP4	116	115
nv9-8_S11_R1_001	SLC1A1	137	136
nv9-8_S11_R1_001	SPP1	3889	3748
nv9-8_S11_R1_001	TBP	67	67
nv9-8_S11_R1_001	TCN1	283	282
nv9-8_S11_R1_001	TSPAN8	803	794
nv9-8_S11_R1_001	unmatched	5168	3956
Undetermined_S0_R1_001	ABCC3	34	33
Undetermined_S0_R1_001	ACADSB	76	75
Undetermined_S0_R1_001	ANXA2	20993	17416
Undetermined_S0_R1_001	ANXA4	3424	3256
Undetermined_S0_R1_001	AOX1	56	56
Undetermined_S0_R1_001	APOD	64	64
Undetermined_S0_R1_001	AQP3	584	576
Undetermined_S0_R1_001	ARG2	120	120
Undetermined_S0_R1_001	ARID5B	84	83
Undetermined_S0_R1_001	BCL6	83	82
Undetermined_S0_R1_001	C10orf10	592	587
Undetermined_S0_R1_001	C1R	1534	1489
Undetermined_S0_R1_001	C4BPA	218	215
Undetermined_S0_R1_001	CD55	1022	1008
Undetermined_S0_R1_001	CEBPD	1739	1698
Undetermined_S0_R1_001	CFD	316	315
Undetermined_S0_R1_001	CLDN4	1503	1482
Undetermined_S0_R1_001	COMP	125	124
Undetermined_S0_R1_001	CP	960	953
Undetermined_S0_R1_001	CRABP2	505	503
Undetermined_S0_R1_001	CYC1	550	545
Undetermined_S0_R1_001	DDX52	256	254
Undetermined_S0_R1_001	DEFB1	2267	2204
Undetermined_S0_R1_001	DKK1	78	78
Undetermined_S0_R1_001	DPP4	156	154
Undetermined_S0_R1_001	DYNLT3	2156	2085
Undetermined_S0_R1_001	EDN3	124	123
Undetermined_S0_R1_001	EDNRB	147	146
Undetermined_S0_R1_001	EFNA1	483	478
Undetermined_S0_R1_001	ENPEP	15	15
Undetermined_S0_R1_001	ERCC_00004	9104	8073
Undetermined_S0_R1_001	ERCC_00108	1013	994
Undetermined_S0_R1_001	ERCC_00116	222	222
Undetermined_S0_R1_001	ERCC_00136	1618	1582
Undetermined_S0_R1_001	G0S2	362	360
Undetermined_S0_R1_001	GADD45A	321	320
Undetermined_S0_R1_001	GBP2	1233	1217
Undetermined_S0_R1_001	GNLY	4763	4556
Undetermined_S0_R1_001	GPX3	888	877
Undetermined_S0_R1_001	HABP2	50	50
Undetermined_S0_R1_001	HMBS	172	172
Undetermined_S0_R1_001	ID4	2232	2150
Undetermined_S0_R1_001	IDO1	1796	1717
Undetermined_S0_R1_001	IGFBP1	12	12
Undetermined_S0_R1_001	IL15	377	369
Undetermined_S0_R1_001	LAMB3	187	185
Undetermined_S0_R1_001	MAOA	844	830
Undetermined_S0_R1_001	MAP3K5	255	255
Undetermined_S0_R1_001	MMP7	135	134
Undetermined_S0_R1_001	MT1G	23882	19644
Undetermined_S0_R1_001	MT1H	2210	2158
Undetermined_S0_R1_001	NDRG1	248	246
Undetermined_S0_R1_001	NNMT	247	247
Undetermined_S0_R1_001	OLFM1	137	136
Undetermined_S0_R1_001	PAEP	5211	4951
Undetermined_S0_R1_001	PRUNE2	260	258
Undetermined_S0_R1_001	S100P	465	465
Undetermined_S0_R1_001	SDHA	1096	1084
Undetermined_S0_R1_001	SERPING1	1784	1747
Undetermined_S0_R1_001	SFRP4	802	792
Undetermined_S0_R1_001	SLC1A1	31	31
Undetermined_S0_R1_001	SPP1	4048	3883
Undetermined_S0_R1_001	TBP	288	287
Undetermined_S0_R1_001	TCN1	131	131
Undetermined_S0_R1_001	TSPAN8	115	113
Undetermined_S0_R1_001	unmatched	185136	9924
